Name,Owner_login,Accepted_PRs,URL
PayloadsAllTheThings,swisskyrepo,482,https://github.com/swisskyrepo/PayloadsAllTheThings
tabby,Eugeny,1414,https://github.com/Eugeny/tabby
requests,psf,1504,https://github.com/psf/requests
obs-studio,obsproject,4117,https://github.com/obsproject/obs-studio
imgui,ocornut,315,https://github.com/ocornut/imgui
prometheus,prometheus,5418,https://github.com/prometheus/prometheus
caddy,caddyserver,1668,https://github.com/caddyserver/caddy
ionic-framework,ionic-team,4934,https://github.com/ionic-team/ionic-framework
face_recognition,ageitgey,94,https://github.com/ageitgey/face_recognition
awesome-courses,prakhar1989,194,https://github.com/prakhar1989/awesome-courses
awesome-cpp,fffaraz,570,https://github.com/fffaraz/awesome-cpp
SecLists,danielmiessler,503,https://github.com/danielmiessler/SecLists
material-design-icons,google,44,https://github.com/google/material-design-icons
alacritty,alacritty,1614,https://github.com/alacritty/alacritty
scrapy,scrapy,2009,https://github.com/scrapy/scrapy
localstack,localstack,3822,https://github.com/localstack/localstack
awesome-flutter,Solido,420,https://github.com/Solido/awesome-flutter
guava,google,374,https://github.com/google/guava
awesome-scalability,binhnguyennus,31,https://github.com/binhnguyennus/awesome-scalability
you-get,soimort,570,https://github.com/soimort/you-get
moment,moment,712,https://github.com/moment/moment
bulma,jgthms,605,https://github.com/jgthms/bulma
openai-cookbook,openai,267,https://github.com/openai/openai-cookbook
docusaurus,facebook,4762,https://github.com/facebook/docusaurus
nuxt,nuxt,3599,https://github.com/nuxt/nuxt
git,git,3,https://github.com/git/git
awesome-android-ui,wasabeef,90,https://github.com/wasabeef/awesome-android-ui
