Name,Total_releases,URL
awesome-chatgpt-prompts-zh,0,https://github.com/PlexPt/awesome-chatgpt-prompts-zh
pi-hole,100,https://github.com/pi-hole/pi-hole
architecture-samples,0,https://github.com/android/architecture-samples
julia,145,https://github.com/JuliaLang/julia
v2ray-core,247,https://github.com/v2ray/v2ray-core
sherlock,0,https://github.com/sherlock-project/sherlock
TensorFlow-Examples,0,https://github.com/aymericdamien/TensorFlow-Examples
AdminLTE,72,https://github.com/ColorlibHQ/AdminLTE
Projects,0,https://github.com/karan/Projects
gogs,78,https://github.com/gogs/gogs
bat,39,https://github.com/sharkdp/bat
act,58,https://github.com/nektos/act
parcel,29,https://github.com/parcel-bundler/parcel
jest,195,https://github.com/jestjs/jest
gpt-engineer,7,https://github.com/AntonOsika/gpt-engineer
babel,364,https://github.com/babel/babel
drawio-desktop,114,https://github.com/jgraph/drawio-desktop
mkcert,14,https://github.com/FiloSottile/mkcert
ChatGPT-Next-Web,45,https://github.com/Yidadaa/ChatGPT-Next-Web
ghidra,30,https://github.com/NationalSecurityAgency/ghidra
build-web-application-with-golang,0,https://github.com/astaxie/build-web-application-with-golang
DeepFaceLab,2,https://github.com/iperov/DeepFaceLab
github-cheat-sheet,0,https://github.com/tiimgreen/github-cheat-sheet
react,0,https://github.com/typescript-cheatsheets/react
retrofit,0,https://github.com/square/retrofit
awesome-wechat-weapp,0,https://github.com/justjavac/awesome-wechat-weapp
design-patterns-for-humans,0,https://github.com/kamranahmedse/design-patterns-for-humans
100-Days-Of-ML-Code,0,https://github.com/Avik-Jain/100-Days-Of-ML-Code
leetcode-master,0,https://github.com/youngyangyang04/leetcode-master
project-layout,0,https://github.com/golang-standards/project-layout
x64dbg,3,https://github.com/x64dbg/x64dbg
openpilot,52,https://github.com/commaai/openpilot
hyper,88,https://github.com/vercel/hyper
rustlings,37,https://github.com/rust-lang/rustlings
Microsoft-Activation-Scripts,7,https://github.com/massgravel/Microsoft-Activation-Scripts
yarn,150,https://github.com/yarnpkg/yarn
yolov5,10,https://github.com/ultralytics/yolov5
git-flight-rules,0,https://github.com/k88hudson/git-flight-rules
marktext,36,https://github.com/marktext/marktext
trackerslist,0,https://github.com/ngosang/trackerslist
pixijs,206,https://github.com/pixijs/pixijs
llama,0,https://github.com/facebookresearch/llama
ChatGPT,34,https://github.com/lencx/ChatGPT
bypass-paywalls-chrome,33,https://github.com/iamadamdev/bypass-paywalls-chrome
minio,416,https://github.com/minio/minio
gpt_academic,22,https://github.com/binary-husky/gpt_academic
PowerShell,146,https://github.com/PowerShell/PowerShell
vue2-elm,0,https://github.com/bailicangdu/vue2-elm
rclone,95,https://github.com/rclone/rclone
Motrix,21,https://github.com/agalwood/Motrix
core,156,https://github.com/vuejs/core
llama.cpp,725,https://github.com/ggerganov/llama.cpp
nw.js,0,https://github.com/nwjs/nw.js
ripgrep,66,https://github.com/BurntSushi/ripgrep
Alamofire,96,https://github.com/Alamofire/Alamofire
pandas,100,https://github.com/pandas-dev/pandas
pm2,120,https://github.com/Unitech/pm2
PythonDataScienceHandbook,0,https://github.com/jakevdp/PythonDataScienceHandbook
styled-components,154,https://github.com/styled-components/styled-components
dubbo,87,https://github.com/apache/dubbo
huginn,1,https://github.com/huginn/huginn
frontend-dev-bookmarks,1,https://github.com/dypsilon/frontend-dev-bookmarks
grpc,265,https://github.com/grpc/grpc
materialize,41,https://github.com/Dogfalo/materialize
CppCoreGuidelines,4,https://github.com/isocpp/CppCoreGuidelines
terraform,262,https://github.com/hashicorp/terraform
discourse,0,https://github.com/discourse/discourse
meilisearch,150,https://github.com/meilisearch/meilisearch
uni-app,0,https://github.com/dcloudio/uni-app
lazygit,148,https://github.com/jesseduffield/lazygit
hiring-without-whiteboards,0,https://github.com/poteto/hiring-without-whiteboards
zx,58,https://github.com/google/zx
Leaflet,31,https://github.com/Leaflet/Leaflet
powerlevel10k,32,https://github.com/romkatv/powerlevel10k
joplin,300,https://github.com/laurent22/joplin
gitea,174,https://github.com/go-gitea/gitea
30-Days-Of-JavaScript,0,https://github.com/Asabeneh/30-Days-Of-JavaScript
front-end-interview-handbook,0,https://github.com/yangshun/front-end-interview-handbook
edex-ui,29,https://github.com/GitSquared/edex-ui
FFmpeg,0,https://github.com/FFmpeg/FFmpeg
dive,25,https://github.com/wagoodman/dive
python-patterns,0,https://github.com/faif/python-patterns
react-use,249,https://github.com/streamich/react-use
segment-anything,0,https://github.com/facebookresearch/segment-anything
vuetify,499,https://github.com/vuetifyjs/vuetify
AppFlowy,42,https://github.com/AppFlowy-IO/AppFlowy
uptime-kuma,91,https://github.com/louislam/uptime-kuma
Magisk,129,https://github.com/topjohnwu/Magisk
nocodb,115,https://github.com/nocodb/nocodb
awesome-java,0,https://github.com/akullpp/awesome-java
